candidate_id,rank,score,reasoning
CAND_0018499,1,1.0000,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.2 Years Experience"
CAND_0064326,2,0.9967,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.6 Years Experience"
CAND_0052328,3,0.9804,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.5 Years Experience"
CAND_0086022,4,0.9782,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.3 Years Experience"
CAND_0088025,5,0.9715,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 8.6 Years Experience"
CAND_0006418,6,0.9579,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.7 Years Experience"
CAND_0081846,7,0.9563,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.7 Years Experience"
CAND_0037566,8,0.9518,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.9 Years Experience"
CAND_0002025,9,0.9507,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.9 Years Experience"
CAND_0077337,10,0.9475,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.0 Years Experience"
CAND_0099806,11,0.9461,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 4.6 Years Experience"
CAND_0092255,12,0.9433,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.2 Years Experience"
CAND_0074735,13,0.9361,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.5 Years Experience"
CAND_0030031,14,0.9333,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.7 Years Experience"
CAND_0041669,15,0.9332,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 8.0 Years Experience"
CAND_0042100,16,0.9301,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.3 Years Experience"
CAND_0079387,17,0.9290,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.9 Years Experience"
CAND_0083852,18,0.9276,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.0 Years Experience"
CAND_0093547,19,0.9265,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 2.9 Years Experience"
CAND_0071974,20,0.9247,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.8 Years Experience"
CAND_0046525,21,0.9245,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.1 Years Experience"
CAND_0036184,22,0.9235,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.0 Years Experience"
CAND_0046064,23,0.9229,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 8.9 Years Experience"
CAND_0020877,24,0.9228,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.1 Years Experience"
CAND_0053591,25,0.9220,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.3 Years Experience"
CAND_0007009,26,0.9199,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.9 Years Experience"
CAND_0091909,27,0.9172,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.9 Years Experience"
CAND_0076163,28,0.9167,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.9 Years Experience"
CAND_0052682,29,0.9162,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.6 Years Experience"
CAND_0015578,30,0.9128,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.4 Years Experience"
CAND_0093912,31,0.9128,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.3 Years Experience"
CAND_0011687,32,0.9125,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.8 Years Experience"
CAND_0014440,33,0.9109,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 6.4 Years Experience"
CAND_0070514,34,0.9098,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.5 Years Experience"
CAND_0008425,35,0.9085,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 7.8 Years Experience"
CAND_0049538,36,0.9051,"Relevant AI/ML Role, LLM, NLP, Semantic Search, Retrieval/Search, Production ML, Strong AI Stack, 5.8 Years Experience"
